"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-11","67","78","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-12","72","85","58"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-13","66","71","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-14","61","67","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-15","63","73","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-16","61","71","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-17","65","75","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-18","68","79","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-19","73","79","65"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-20","68","79","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-21","67","81","53"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-22","74","88","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-23","73","82","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-24","70","80","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-25","66","76","55"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-26","69","80","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-27","67","76","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-28","71","86","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-29","74","89","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-30","78","92","63"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-31","79","91","66"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-01","78","88","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-02","80","90","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-03","77","84","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-04","71","79","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-05","72","85","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-06","75","89","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-07","85","98","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-08","88","98","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-09","87","98","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-10","70","76","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-11","71","81","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-12","68","76","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-13","76","82","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-14","79","91","66"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-06-15","77","85","68"
